,Name,Director,Actor,Rating,Genre,Time,Release Date,anticipate Up,anticipate Down
45,신패왕화 : 예스마담,레이 우,"양리칭, 왕페이, 양사기",15세 관람가,액션,89,2021.03.04,12,2
46,쁘떼뜨,마틴 슈라이어,"에밀리아 슐레, 데니스 모옌, 마이클 귀스덱",12세 관람가,멜로/로맨스,127,2021.03.10,6,0
47,웨이 다운,자움 발라구에로,"프레디 하이모어, 리암 커닝햄, 샘 라일리, 아스트리드 베흐제 프리스베, 팜케 얀센",,"액션, 모험, 판타지",118,2021.03.11,1,0
48,고질라 VS. 콩,애덤 윈가드,"알렉산더 스카스가드, 밀리 바비 브라운",,액션,172,2021.03,1319,48
49,그녀가 사라졌다,루크 이브,"브렌튼 스웨이츠, 릴리 설리반, 조엘 잭슨",,멜로/로맨스,108,2021.03,2,1
50,라야와 마지막 드래곤,"돈 홀, 까를로스 로페즈 에스트라다","켈리 마리 트란, 아콰피나, 산드라 오, 대니얼 대 킴, 젬마 찬",,"애니메이션, 액션, 모험",,2021.03,489,16
51,모비우스,다니엘 에스피노사,"자레드 레토, 아드리아 아르조나",,"액션, 모험, 드라마",,2021.03,530,43
52,반딧불이 딘딘과 용감한 곤충 탐험대,등위봉,,전체 관람가,애니메이션,86,2021.03,3,2
53,스톰 보이,숀 시트,"핀 리틀, 제이 코트니, 제프리 러쉬",전체 관람가,"모험, 드라마, 가족",99,2021.03,56,6
54,유어 아이즈 텔,미키 타카히로,"요시타카 유리코, 요코하마 류세이",15세 관람가,멜로/로맨스,123,2021.03,74,12
55,"조제, 호랑이 그리고 물고기들",타무라 코타로,,,"애니메이션, 드라마",98,2021.03,926,35
56,카오스 워킹,더그 라이만,"톰 홀랜드, 데이지 리들리, 매즈 미켈슨",,모험,,2021.03,396,15
57,특명: 스피드 레스큐,국교량,왕해상,,"액션, 전쟁",83,2021.03,0,0
58,파이터,윤재호,"임성미, 백서빈, 오광록",12세 관람가,드라마,104,2021.03,9,0
59,프로젝트 마스,알렉산더 쿨리코프,"안나 반스치코바, 알렉산더 쿨리코프, 안드레이 스몰리야코프",12세 관람가,"모험, 드라마, SF",90,2021.03,16,3
60,피넛 버터 팔콘,"타일러 닐슨, 마이크 슈왈츠","샤이아 라보프, 다코타 존슨, 잭 고츠아전, 존 호키스",12세 관람가,드라마,97,2021.03,37,4
61,추룡 2 : 패왕,"왕정, 관지요","양가휘, 고천락, 임가동, 임달화",15세 관람가,"액션, 범죄, 스릴러",101,2021.04.08,5,3
62,분노의 질주: 더 얼티메이트,저스틴 린,"빈 디젤, 존 시나, 샤를리즈 테론, 미셸 로드리게즈, 조다나 브류스터",,액션,,2021.05,10700,297
63,007 노 타임 투 다이,캐리 후쿠나가,"다니엘 크레이그, 라미 말렉, 라샤나 린치, 레아 세이두",,액션,,2021.10,5240,188
64,쥬라기 월드: 도미니언,콜린 트레보로우,"크리스 프랫, 브라이스 달라스 하워드",,"액션, 모험",,2022.06.10,4676,113
